ID,NAME,HEIGHT,WEIGHT,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
3551,Frank Reddout,5-Jun,195lb,7,,2.6,0.7,0.9,0.833,,,,0.7,0.9,0.833,0.833,0.4,0.6,0.75,,,1.3,0,,,,0.9,1.9
3552,J.J. Redick,4-Jun,190lb,634,263,24.5,3.9,8.7,0.449,1.8,4.3,0.414,2.1,4.4,0.483,0.551,2,2.3,0.888,0.2,1.7,1.9,1.9,0.4,0.1,1,1.5,11.6
3553,Marlon Redmond,6-Jun,188lb,77,,13.7,2.9,6.8,0.423,0,0.4,0,2.9,6.7,0.43,0.423,0.7,1.1,0.655,1,1.1,2.1,1,0.4,0.3,1,1.6,6.5
3554,Hub Reed,9-Jun,215lb,479,,16.4,2.3,5.2,0.436,,,,2.3,5.2,0.436,0.436,1,1.3,0.724,,,5.1,0.8,,,,2.8,5.5
3555,Justin Reed,8-Jun,240lb,136,9,10.6,1.3,3.2,0.404,0,0,0,1.3,3.1,0.407,0.404,0.9,1.2,0.752,0.6,0.8,1.4,0.5,0.2,0.1,0.6,1.6,3.5
3556,Ron Reed,5-Jun,205lb,119,,18.9,3.4,9.4,0.364,,,,3.4,9.4,0.364,0.364,1.1,2,0.571,,,6.4,1.5,,,,2.3,8
3557,Willie Reed,10-Jun,220lb,55,2,11.4,1.9,3.3,0.572,0,0,,1.9,3.3,0.572,0.572,0.8,1.5,0.542,1.5,1.9,3.3,0.3,0.1,0.6,0.4,1.3,4.6
3558,Willis Reed,9-Jun,235lb,650,,35.5,7.5,15.7,0.476,,,,7.5,15.7,0.476,0.476,3.8,5.1,0.747,2.5,4.9,12.9,1.8,0.6,1.1,,3.7,18.7
3559,Bryant Reeves,Jul-00,275lb,395,341,30.6,5.1,10.7,0.475,0,0.1,0.074,5.1,10.6,0.478,0.475,2.4,3.4,0.703,2.2,4.8,6.9,1.6,0.5,0.8,1.9,3.5,12.5
3560,Khalid Reeves,3-Jun,199lb,277,113,21.1,2.7,6.5,0.416,0.8,2.3,0.363,1.8,4.1,0.446,0.482,1.6,2.2,0.744,0.6,1.5,2.1,3.2,0.8,0.1,1.6,2.3,7.8
3561,Richie Regan,2-Jun,180lb,215,,25.6,3.3,9.4,0.344,,,,3.3,9.4,0.344,0.344,1.8,2.5,0.717,,,2.6,2.9,,,,2.5,8.3
3562,Don Rehfeldt,7-Jun,210lb,98,,20.2,2.7,7.3,0.37,,,,2.7,7.3,0.37,0.37,1.7,2.2,0.758,,,5,1.2,,,,2.5,7.1
3563,Billy Reid,5-Jun,190lb,59,,10.1,1.4,3.1,0.454,0,0.1,0,1.4,3.1,0.467,0.454,0.4,0.7,0.564,0.5,0.6,1,1.2,0.6,0.1,1.3,1.9,3.2
3564,Don Reid,8-Jun,250lb,403,149,13.3,1.4,2.7,0.53,0,0,0,1.4,2.7,0.531,0.53,0.7,1.1,0.658,1.1,1.8,2.9,0.4,0.5,0.7,0.6,2.8,3.6
3565,J.R. Reid,9-Jun,247lb,672,297,22.9,3.2,6.8,0.472,0,0.1,0.135,3.2,6.8,0.475,0.472,2,2.8,0.716,1.5,3.5,5,1,0.8,0.4,1.4,2.9,8.5
