ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER,ID,NAME
1740,"Adonys Henriquez",56,33.5,3.4,8.4,0.412,1.4,3,0.473,2,5.4,0.377,1.5,2.1,0.733,3.2,2.1,0.6,0.2,1.3,0.9,10.4,6.949,2117,"Adonys Henriquez"
1632,"Adrian Autry",8,1.3,0.3,1,0.25,0.1,0.4,0.333,0.1,0.6,0.2,0.3,0.3,1,0,0,0.1,0,0.3,0.1,0.9,-0.399,214,"Adrian Autry"
3109,"Adrian Brown",29,8.6,1,2.3,0.433,1,2.3,0.424,0,0,1,0.6,1.1,0.581,1.6,0.2,0.3,0.3,0.7,1.9,2.7,1.86,587,"Adrian Brown"
168,"Adrian Edwards",59,13.5,1.3,3.2,0.395,1.3,3.1,0.405,0,0.1,0,0.5,0.9,0.509,2.6,0.3,0.3,0.2,0.8,1.9,3,2.706,1385,"Adrian Edwards"
751,"Adrian Rich",38,20.1,1.5,3.8,0.384,1.2,2.7,0.427,0.3,1.1,0.279,0.5,0.7,0.679,1.1,1.6,0.8,0.1,1.5,1.4,3.8,2.496,4024,"Adrian Rich"
29,"Aher Uguak",7,8,0.4,1.1,0.375,0.3,0.9,0.333,0.1,0.3,0.5,0.3,0.6,0.5,0.4,0.3,0.6,0,0.1,0.6,1.3,1.083,4924,"Aher Uguak"
1730,"Ahmaad Rorie",46,21.3,2.2,5.3,0.409,1.4,3.1,0.444,0.8,2.2,0.36,1.1,1.5,0.754,2.5,2,0.2,0.2,1.2,1.5,6.2,4.852,4144,"Ahmaad Rorie"
857,"Ahmad Caver",40,18.9,1.4,4.4,0.31,0.8,2.6,0.324,0.5,1.8,0.292,1.1,2,0.544,2,2.2,0.7,0.3,1.1,1.5,4.3,3.538,822,"Ahmad Caver"
1374,"Ahmad Frost",20,17.7,1,2.4,0.404,0.4,0.9,0.412,0.6,1.5,0.4,0.6,0.8,0.8,1.5,1.8,0.4,0.1,1,2,3.1,3.545,1657,"Ahmad Frost"
686,"Ahmad Gilbert",30,11.8,1.2,3.8,0.31,0.6,1.7,0.365,0.5,2,0.262,0.2,0.4,0.462,1.7,0.6,0.5,0.1,0.6,1,3.1,1.985,1763,"Ahmad Gilbert"
559,"Ahmad Thomas",67,25.1,4.1,8.4,0.487,3.6,7.1,0.507,0.5,1.3,0.372,1.3,2.1,0.613,5.3,1.6,1.9,0.3,1.7,2.3,10,9.618,4750,"Ahmad Thomas"
54,"Ahmad Wagner",42,11.6,1,1.8,0.579,1,1.8,0.595,0,0,0,0.9,1.7,0.521,3,0.5,0.4,0.5,0.5,1.8,3,4.345,5010,"Ahmad Wagner"
110,"Ahmad Walker",67,26.6,2.9,6.8,0.429,2.7,5.5,0.484,0.3,1.3,0.195,2.5,3.8,0.652,6,3.1,1,0.2,2.5,2.7,8.6,8.913,5016,"Ahmad Walker"
2050,"Ahmed Hill",41,29.4,3.2,7.9,0.407,1.9,4.7,0.408,1.3,3.2,0.406,1.7,2.5,0.683,3.5,1.5,0.4,0.1,1.5,2.3,9.4,5.562,2155,"Ahmed Hill"
176,"Ahmed Ismail",9,17.6,2,3.7,0.545,2,3.4,0.581,0,0.2,0,0.7,1.4,0.462,5.3,0.4,0.4,1.1,1.8,3.6,4.7,6.472,2322,"Ahmed Ismail"
1284,"Ahsante Shivers",10,15.5,1.1,2.5,0.44,1.1,2.2,0.5,0,0.3,0,1.1,1.7,0.647,2,0.7,0.8,0,0.7,1.5,3.3,3.093,4367,"Ahsante Shivers"
678,"Ajdin Penava",27,8.7,1.2,2.5,0.485,1,1.6,0.651,0.2,0.9,0.2,1,1.4,0.684,1.6,0.4,0.1,0.5,0.6,2.4,3.6,2.734,3766,"Ajdin Penava"
2824,"Akeem Springs",88,27.8,3.8,9,0.423,2.6,5.2,0.501,1.2,3.8,0.314,1.9,2.6,0.724,4.5,1.4,0.7,0.1,1.5,1.6,10.7,7.118,4537,"Akeem Springs"
2893,"Akim Mitchell",39,11.4,0.6,2.1,0.313,0.6,1.4,0.407,0.1,0.7,0.115,0.7,0.9,0.778,2,0.6,0.3,0,0.6,1.2,2.1,2.277,3335,"Akim Mitchell"
149,"Ako Adams",8,9.4,0.3,2.4,0.105,0.1,1.1,0.111,0.1,1.3,0.1,0.5,0.5,1,0.5,1.5,0.1,0,1.3,1.5,1.1,-0.442,19,"Ako Adams"
54,"Ako Kaluna",110,21.2,3.2,7.4,0.43,2.4,5.2,0.469,0.7,2.2,0.333,1.5,2.1,0.689,4.3,0.8,0.5,0.4,1.1,2.3,8.5,6.187,2595,"Ako Kaluna"
311,"Akoy Agau",31,8.3,0.6,1.2,0.541,0.6,0.9,0.679,0,0.3,0.111,0.8,1.1,0.714,1.7,0.4,0.1,0.4,0.7,1,2.1,2.258,45,"Akoy Agau"
65,"Akwasi Yeboah",8,23.1,3.1,10.1,0.309,1.5,5.1,0.293,1.6,5,0.325,1.8,2.6,0.667,4.9,0.6,0.3,0.5,0.9,2.5,9.6,5.285,5382,"Akwasi Yeboah"
1181,"Alain Chigha",46,7.6,0.3,1,0.304,0.2,0.7,0.3,0.1,0.3,0.313,0.3,0.6,0.536,1.2,0.2,0.2,0,0.3,1.5,1,1.133,865,"Alain Chigha"
1863,"Alan Herndon",72,22.8,2.3,4.5,0.511,1.8,2.9,0.604,0.5,1.5,0.33,1.1,1.8,0.611,3.8,0.9,0.4,0.8,1,1.8,6.1,6.495,2133,"Alan Herndon"
298,"Alan Vest",24,10.4,0.5,1.3,0.387,0.2,0.5,0.455,0.3,0.8,0.35,0.1,0.2,0.6,1,0.5,0.1,0,0.4,0.7,1.4,1.423,4981,"Alan Vest"
791,"Albert Almanza",42,20.2,2.1,5,0.422,0.8,1.6,0.485,1.4,3.5,0.393,0.6,0.9,0.75,3.7,1,0.4,0.1,0.5,2.4,6.2,6.375,114,"Albert Almanza"
1273,"Albert Christensson",62,10.2,1,2.4,0.422,0.8,1.9,0.443,0.2,0.5,0.344,0.7,1.5,0.469,1.8,0.2,0.1,0.1,1,1.5,2.9,1.28,873,"Albert Christensson"
664,"Albert Owens",75,19.2,3.1,7,0.439,3,6.8,0.449,0.1,0.3,0.2,1.5,2.4,0.632,3.9,0.5,0.3,1.1,0.9,1.6,7.8,5.788,3691,"Albert Owens"
798,"Aldonis Foote",38,8.8,1.1,2.5,0.436,1,2.2,0.446,0.1,0.3,0.364,0.4,0.8,0.548,2,0.4,0.4,0,0.6,1.6,2.7,2.478,1573,"Aldonis Foote"
2774,"Alec Brennan",57,8,0.8,1.6,0.478,0.5,1.1,0.517,0.2,0.6,0.406,0.3,0.6,0.545,1.6,0.4,0.3,0.3,0.5,1.6,2.1,2.281,551,"Alec Brennan"
876,"Alec Peters",115,31.2,5.7,11.6,0.488,3.5,6.5,0.544,2.1,5.1,0.418,3.3,3.9,0.847,6.9,1.3,0.8,0.3,1.8,2.1,16.8,12.406,3786,"Alec Peters"
262,"Alec Raven",4,3,0.3,0.8,0.333,0.3,0.5,0.5,0,0.3,0,0.5,0.5,1,0.8,0,0,0,0,0.3,1,0.948,3961,"Alec Raven"
2768,"Alec Wintering",100,31.2,4.1,9.6,0.432,3.1,7.1,0.44,1,2.5,0.409,4.5,5.6,0.799,3,5.2,1.6,0,2.8,2.7,13.8,9.635,5318,"Alec Wintering"
2842,"Alec Wnuk",44,10,1.2,2.6,0.474,1.2,2.4,0.49,0.1,0.2,0.3,0.7,1.2,0.577,2.2,0.5,0.2,0.1,0.7,1.3,3.2,2.952,5322,"Alec Wnuk"
690,"Aleer Leek",40,8,0.8,1.8,0.444,0.5,0.9,0.486,0.4,0.9,0.4,0.3,0.6,0.52,1.1,0.1,0.1,0.2,0.4,1.1,2.3,1.779,2835,"Aleer Leek"
2156,"Aleksa Jugovic",71,26,3.3,7.2,0.451,1.4,2.6,0.549,1.9,4.7,0.398,1.8,2.1,0.848,2,2.4,0.8,0.1,1.5,1.6,10.2,6.837,2580,"Aleksa Jugovic"
560,"Aleksa Nikolic",43,24.3,1.8,6,0.301,1.4,4.3,0.339,0.3,1.7,0.205,0.5,0.8,0.657,4,2.9,0.9,0.1,2.5,2,4.5,4.427,3553,"Aleksa Nikolic"
1774,"Aleksandar Dozic",23,8.7,0.6,1.6,0.378,0.4,1,0.455,0.2,0.7,0.267,0,0.2,0,1.4,0.5,0.2,0.1,0.3,1.3,1.4,1.832,1314,"Aleksandar Dozic"
595,"Alex Allbery",13,4,0.3,0.9,0.333,0.1,0.4,0.2,0.2,0.5,0.429,0.1,0.2,0.5,0.4,0.2,0,0,0.5,0.5,0.9,0.15,86,"Alex Allbery"
1591,"Alex Austin",93,18,1.9,4.5,0.418,1.1,2,0.532,0.8,2.5,0.326,1.1,1.5,0.745,2.1,0.9,0.6,0,0.7,1.4,5.7,4.025,208,"Alex Austin"
3112,"Alex Brown",9,10.7,0.9,3,0.296,0.4,1.8,0.25,0.4,1.2,0.364,0.2,0.3,0.667,1.1,0.6,0,0.1,0.8,0.4,2.4,0.647,588,"Alex Brown"
