ID,NAME,G,MP,FG,FGA,FG%,2P,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
232,Torez Young,19,15.5,1.3,4.2,0.313,1.1,3.2,0.344,0.2,1,0.211,1.4,2,0.684,1.8,0.8,0.7,0,2.3,1.8,4.2,0.66
1372,Torian Graham,9,31,6.2,13.9,0.448,3.4,6.6,0.525,2.8,7.3,0.379,1.7,2,0.833,3.9,1.1,0.8,0.3,0.8,1.3,16.9,9.818
1203,Torin Childs-Harris,34,13.8,1.4,4.3,0.322,1.1,2.6,0.404,0.3,1.7,0.193,1.2,1.8,0.683,1.5,0.4,0.7,0.1,0.8,1.6,4.3,1.652
1600,Torin Dorn,40,29.1,5,9.5,0.529,4,6.9,0.582,1,2.6,0.39,2.1,3.1,0.683,4.3,1.3,0.7,0.2,1.7,1.3,13.2,8.526
806,Torloft Thomas,66,18.7,1.6,4.2,0.381,0.8,1.8,0.42,0.8,2.4,0.352,1.4,1.9,0.758,1.6,1.3,0.4,0,1.4,1.6,5.5,2.699
1917,Torrance Rowe,60,32.4,4.7,11.9,0.399,2.5,5.4,0.47,2.2,6.5,0.341,3.2,3.9,0.84,2.5,3.6,0.7,0,2.3,1.2,14.9,7.255
2621,Torraye Braggs,59,30.9,4.7,8.6,0.55,4.7,8.6,0.551,0,0,0,3.9,5.4,0.727,7.8,2.5,1.4,0.4,3.3,1.6,13.4,12.14
2670,Torrey Craig,131,31,5.7,13.8,0.413,3.4,6.9,0.495,2.3,6.9,0.33,2.6,3.8,0.671,7.2,1.8,1.1,0.8,2.6,2.5,16.2,11.159
3632,Torrion Brummitt,115,19.5,3.1,6.6,0.476,3.1,6,0.507,0.1,0.6,0.152,2.1,3.4,0.625,4.9,0.9,0.7,0.6,1.8,3.1,8.5,6.686
4238,Torry Butler,42,20.1,2.5,5.3,0.482,2.2,4.2,0.537,0.3,1.1,0.277,1.2,2,0.612,6.2,1.4,0.8,0.4,1.1,2.7,6.6,8.826
1458,Torry Johnson,30,28.1,3.1,6.8,0.453,2.6,5.3,0.481,0.5,1.4,0.349,2.4,3.6,0.657,2.6,1.5,0.6,0.1,1.6,2.7,9,4.809
328,Tory Jackson,136,37.5,3.2,7.9,0.407,2.5,5.6,0.442,0.8,2.3,0.323,1.8,3,0.606,3.9,5.1,1.6,0.1,2.5,0.4,9.1,9.318
