Simple_PER,name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Simple_PER
0.425,Don Ackerman,28,0,7.9,0.5,2.3,0.222,0,0,0,0.5,2.3,0.222,0.222,0.5,1,0.536,0,0,0.5,0.8,0,0,0,1.5,1.5,0.425
5.495,Mark Acres,375,68,16,1.4,2.7,0.506,0,0,0.538,1.4,2.7,0.505,0.509,0.8,1.2,0.665,1.5,2.5,4.1,0.5,0.4,0.3,0.6,2.5,3.6,5.495
2.655,Bud Acton,23,0,8.5,1.3,3.2,0.392,0,0,0,1.3,3.2,0.392,0.392,0.8,1.3,0.655,0,0,2,0.5,0,0,0,1.5,3.3,2.655
5.341,Quincy Acy,225,51,15.1,1.7,3.5,0.494,0.2,0.6,0.323,1.5,2.9,0.529,0.521,0.9,1.2,0.749,1.1,2.4,3.5,0.6,0.4,0.4,0.6,1.9,4.5,5.341
13.92,Alvan Adams,988,342,27.5,5.8,11.6,0.498,0,0,0.133,5.8,11.6,0.498,0.498,2.5,3.2,0.788,2,5,7,4.1,1.3,0.8,2.6,3.3,14.1,13.92
7.166,Don Adams,523,0,25.8,3.5,8.7,0.402,0,0.1,0,3.5,8.7,0.402,0.402,1.8,2.5,0.741,1.5,3.3,5.6,1.9,1.1,0.2,2.2,3.3,8.8,7.166
6.921,George Adams,215,0,18.2,3.3,6.7,0.497,0,0.1,0.235,3.3,6.6,0.5,0.499,1,1.3,0.794,1.5,2.6,4.1,1.5,0.6,0.4,1.4,1.7,7.7,6.921
2.01,Hassan Adams,73,8,7.5,1.1,2,0.534,0,0,0,1.1,2,0.537,0.534,0.4,0.6,0.643,0.5,0.7,1.2,0.2,0.2,0.1,0.4,0.7,2.5,2.01
1.968,Jordan Adams,32,0,8.2,1.2,2.9,0.402,0.3,0.8,0.385,0.8,2.1,0.409,0.457,0.5,0.9,0.607,0.3,0.7,0.9,0.6,0.6,0.2,0.5,0.8,3.2,1.968
11.869,Michael Adams,653,510,31.3,5,12,0.415,1.5,4.4,0.332,3.5,7.6,0.462,0.475,3.3,3.9,0.849,0.6,2.3,2.9,6.4,1.7,0.1,2.1,1.8,14.7,11.869
8.815,Steven Adams,253,189,22.3,2.6,4.7,0.564,0,0,0,2.6,4.7,0.565,0.564,1.4,2.4,0.573,2.5,3.7,6.2,0.7,0.6,1,1.2,2.8,6.6,8.815
3.911,Rafael Addison,379,54,15,2.4,5.4,0.449,0.2,0.6,0.282,2.2,4.8,0.472,0.466,0.7,0.9,0.772,0.7,1.4,2.1,0.9,0.4,0.2,0.7,1.8,5.8,3.911
7.675,Rick Adelman,462,0,22.6,3,7.2,0.415,0,0,0,3,7.2,0.415,0.415,1.8,2.5,0.713,0.4,1.1,2.4,3.5,0.9,0.1,0,2.1,7.7,7.675
5.865,Jeff Adrien,153,17,14,1.7,3.6,0.474,0,0,0,1.7,3.6,0.476,0.474,1.2,1.9,0.628,1.4,2.9,4.3,0.7,0.3,0.5,0.6,1.7,4.6,5.865
7.27,Arron Afflalo,668,507,28.6,4.2,9.3,0.451,1.2,3,0.383,3,6.2,0.484,0.514,2,2.4,0.823,0.5,2.6,3,1.9,0.5,0.2,1.2,2,11.5,7.27
0.34,Maurice Ager,82,4,6.2,0.8,2.3,0.339,0.1,0.5,0.25,0.6,1.8,0.366,0.368,0.4,0.6,0.566,0.1,0.5,0.6,0.2,0.1,0.1,0.4,0.8,2.1,0.34
10.889,Mark Aguirre,923,639,30,7.8,16.1,0.484,0.4,1.4,0.312,7.4,14.7,0.5,0.498,4,5.4,0.741,1.8,3.1,5,3.1,0.7,0.3,2.5,2.8,20,10.889
1.795,Blake Ahearn,19,0,11.9,1.1,4.1,0.273,0.7,2.5,0.298,0.4,1.6,0.233,0.364,1.7,1.7,0.97,0.1,1.1,1.2,1.2,0.4,0,1.2,1.4,4.6,1.795
